VIN,Year,Make,Model,Trim,Mileage,Price,Stock #,Body Style,Drivetrain,Exterior Color,Interior Color
1C6RR7LT8DS666620,2013,RAM,1500,SLT,138.922,19995,210296B,,,,
1FT8W3DT0CEB48325,2012,Ford,Super Duty F 350 DRW,LARIAT,77326.0,41595,P57097A,,,,
1HTKJPVK8MH316426,2021,Chevrolet,Silverado 4500 HD,LT,337.0,58955,P57786,,,,
1G1ZD5ST6NF127154,2022,Chevrolet,Malibu,LT,35055.0,17595,P57801,,,,
3C6JR6DTXHG675130,2017,RAM,1500,Tradesman,47732.0,18995,P57882,,,,
KL7CJLSM6MB377385,2021,Chevrolet,Trax,LT,30059.0,16868,P57986,,,,
2G1FP32G6W2129829,1998,Chevrolet,Camaro,Z28,65824.0,17424,P58108,,,,
KL7CJLSM0MB376104,2021,Chevrolet,Trax,LT,26897.0,16818,P58141,,,,
WMZ83BR02R3R77094,2024,MINI,Cooper S,Countryman All4,26384.0,29098,P58274,,,,
1G1ZD5ST8LF021317,2020,Chevrolet,Malibu,LT,62484.0,14995,P58316,,,,
2GNAXKEV2N6109923,2022,Chevrolet,Equinox,LT,66043.0,17600,P58403,,,,
3N6CM0KNXLK699903,2020,Nissan,NV200 Compact Cargo,S,121106.0,16884,P58346,,,,
2T2AZMAA1MC207304,2021,Lexus, ,RX 350,47773.0,35458,P58423,,,,
1G1ZD5STXNF141834,2022,Chevrolet,Malibu,LT,55019.0,16442,P58471,,,,
KL4AMBS2XRB062908,2024,Buick,Encore GX,Preferred,23759.0,21615,P58496,,,,
KNDJ23AU4P7859854,2023,Kia,Soul,LX,20901.0,15962,P58528,,,,
WMW53DK06R2V07064,2024,MINI,Cooper S,Hardtop 4 Door,26129.0,25709,P58552,,,,
1GYS4CKJ5JR196190,2018,Cadillac,Escalade,Premium Luxury,77098.0,35495,P58586,,,,
1G1FG1R73R0100059,2024,Chevrolet,Camaro,2SS,1422.0,65887,P58611,,,,
1FTEW1EP2JKC82969,2018,Ford,F 150,LARIAT,88643.0,27073,P58656,,,,
KL77LHE28RC062382,2024,Chevrolet,Trax,LT,22588.0,22246,P58687,,,,
1G1ZD5ST9LF059364,2020,Chevrolet,Malibu,LT,48437.0,15995,P58704,,,,
5GAERCKW0NJ101430,2022,Buick,Enclave,Premium,67813.0,25595,P58695,,,,
W1Y40BHY3PT139888,2023,Mercedes Benz,Sprinter Cargo Van, ,14951.0,46433,P58701,,,,
1FTER4EH4NLD10157,2022,Ford,Ranger,XL,56355.0,23929,P58724,,,,
1G1FG1R77P0107819,2023,Chevrolet,Camaro,2SS,88.0,62818,P58794,,,,
3D3KS28AX8G127882,2008,Dodge,Ram 2500,Laramie,99020.0,28373,P58791,,,,
1C4PJMAB8HW600566,2017,Jeep,Cherokee,Altitude,58073.0,14995,240310B,,,,
1FT8W3BT3MEC64624,2021,Ford,Super Duty F 350 SRW,Platinum,33893.0,69132,P5775A,,,,
LRBFX3SX8KD098951,2019,Buick,Envision,Premium,16132.0,24570,P58111B,,,,
1GNSKDKD1PR418168,2023,Chevrolet,Suburban,Z71,53483.0,60437,P58845,,,,
KL77LHE20RC084568,2024,Chevrolet,Trax,LT,7846.0,22438,240060,,,,
1FTEX1CP9KKD08887,2019,Ford,F 150,XL,80708.0,18795,P58880,,,,
2GNAXTEV1M6142108,2021,Chevrolet,Equinox,LT,48263.0,20479,P58879,,,,
3FTTW8J99RRA70407,2024,Ford,Maverick,XLT,17009.0,31895,P58878,,,,
2HGFB2F80DH526466,2013,Honda,Civic Sdn,EX,95399.0,15995,P57941A,,,,
KL77LFE25RC126933,2024,Chevrolet,Trax,LS,19710.0,20668,P58095,,,,
KL79MPSL7NB084032,2022,Chevrolet,Trailblazer,LT,23112.0,21771,P58904,,,,
KNDRHDLG6P5171171,2023,Kia,Sorento Hybrid,EX,19728.0,32132,P58909,,,,
3VV5X7B25RM037727,2024,Volkswagen,Taos,S,38699.0,20898,P58906,,,,
5XYK6CDF3RG160100,2024,Kia,Sportage,X Line,24006.0,28591,250233A,,,,
1GYKPFRS7MZ137735,2021,Cadillac,XT6,Premium Luxury,58121.0,30890,250446A,,,,
KL77LFE26RC224482,2024,Chevrolet,Trax,LS,28324.0,21079,P58850A,,,,
1G1JC5SG3F4126012,2015,Chevrolet,Sonic,LT,115584.0,8459,250370A,,,,
